Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
20,Stalling Padding,0.3,SGAN,99.98%,12837/12839,2,11.3204
20,Stalling Padding,0.5,CNN,100.00%,12839/12839,0,9.9614
20,Stalling Padding,0.5,DGCNN,100.00%,12839/12839,0,23.0906
20,Stalling Padding,0.5,GAT,99.98%,12836/12839,3,43.0156
20,Stalling Padding,0.5,HYBRID-DGCNN,100.00%,12839/12839,0,22.2911
20,Stalling Padding,0.5,HYBRID-GAT,99.96%,12834/12839,5,72.9323
20,Stalling Padding,0.5,LSTM,98.78%,12682/12839,157,40.6969
20,Stalling Padding,0.5,SGAN,99.99%,12838/12839,1,10.9026
20,Stalling Padding,0.7,CNN,100.00%,12839/12839,0,27.564
20,Stalling Padding,0.7,DGCNN,100.00%,12839/12839,0,56.3017
20,Stalling Padding,0.7,GAT,100.00%,12839/12839,0,114.1998
20,Stalling Padding,0.7,HYBRID-DGCNN,100.00%,12839/12839,0,55.7405
20,Stalling Padding,0.7,HYBRID-GAT,100.00%,12839/12839,0,173.587
20,Stalling Padding,0.7,LSTM,99.89%,12825/12839,14,125.868
20,Stalling Padding,0.7,SGAN,99.99%,12838/12839,1,27.8407
20,Stalling Padding,0.9,CNN,100.00%,12839/12839,0,28.3132
20,Stalling Padding,0.9,DGCNN,100.00%,12839/12839,0,57.9817
20,Stalling Padding,0.9,GAT,100.00%,12839/12839,0,121.6611
20,Stalling Padding,0.9,HYBRID-DGCNN,100.00%,12839/12839,0,58.6678
20,Stalling Padding,0.9,HYBRID-GAT,100.00%,12839/12839,0,189.3855
20,Stalling Padding,0.9,LSTM,100.00%,12839/12839,0,143.0895
20,Stalling Padding,0.9,SGAN,99.78%,12811/12839,28,28.8441
30,Benign Mimicry,0.1,CNN,99.67%,12797/12839,42,19.2608
30,Benign Mimicry,0.1,DGCNN,97.86%,12564/12839,275,38.0643
30,Benign Mimicry,0.1,GAT,97.52%,12521/12839,318,73.2447
30,Benign Mimicry,0.1,HYBRID-DGCNN,97.34%,12498/12839,341,37.6341
30,Benign Mimicry,0.1,HYBRID-GAT,94.31%,12109/12839,730,129.1427
30,Benign Mimicry,0.1,LSTM,98.61%,12661/12839,178,90.3611
30,Benign Mimicry,0.1,SGAN,99.80%,12813/12839,26,19.2136
30,Benign Mimicry,0.2,CNN,99.34%,12754/12839,85,11.7147
30,Benign Mimicry,0.2,DGCNN,97.00%,12454/12839,385,25.6456
30,Benign Mimicry,0.2,GAT,94.41%,12121/12839,718,48.8173
30,Benign Mimicry,0.2,HYBRID-DGCNN,95.47%,12257/12839,582,25.0788
30,Benign Mimicry,0.2,HYBRID-GAT,84.73%,10879/12839,1960,78.0583
30,Benign Mimicry,0.2,LSTM,97.00%,12454/12839,385,44.7426
30,Benign Mimicry,0.2,SGAN,99.65%,12794/12839,45,12.4254
30,Benign Mimicry,0.3,CNN,98.83%,12689/12839,150,11.248
30,Benign Mimicry,0.3,DGCNN,96.56%,12397/12839,442,24.7059
30,Benign Mimicry,0.3,GAT,92.89%,11926/12839,913,46.8878
30,Benign Mimicry,0.3,HYBRID-DGCNN,94.70%,12159/12839,680,23.8773
30,Benign Mimicry,0.3,HYBRID-GAT,74.19%,9525/12839,3314,74.67
30,Benign Mimicry,0.3,LSTM,95.90%,12313/12839,526,42.632
